# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-06-29
#
# GRDC-No.:              6348400
# River:                 PO, FIUME
# Station:               PIACENZA
# Country:               --
# Latitude (DD):       45.016666
# Longitude (DD):      9.666667
# Catchment area (km²):      
# Altitude (m ASL):        42.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1924 - 1985
# No. of years:          62
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 744
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1947-08-01;--:--;    393.000;   -999.000;   0
1947-09-01;--:--;   1020.000;   -999.000;   0
1947-10-01;--:--;   1230.000;   -999.000;   0
1947-11-01;--:--;   1010.000;   -999.000;   0
1947-12-01;--:--;   1000.000;   -999.000;   0
1948-01-01;--:--;   1080.000;   -999.000;   0
1948-02-01;--:--;    976.000;   -999.000;   0
1948-03-01;--:--;    677.000;   -999.000;   0
1948-04-01;--:--;   1000.000;   -999.000;   0
1948-05-01;--:--;   3100.000;   -999.000;   0
1948-06-01;--:--;   1370.000;   -999.000;   0
1948-07-01;--:--;    436.000;   -999.000;   0
1948-08-01;--:--;    723.000;   -999.000;   0
1948-09-01;--:--;   1960.000;   -999.000;   0
1948-10-01;--:--;    840.000;   -999.000;   0
1948-11-01;--:--;    713.000;   -999.000;   0
1948-12-01;--:--;    490.000;   -999.000;   0
1949-01-01;--:--;    629.000;   -999.000;   0
1949-02-01;--:--;    439.000;   -999.000;   0
1949-03-01;--:--;    482.000;   -999.000;   0
1949-04-01;--:--;    321.000;   -999.000;   0
1949-05-01;--:--;   2200.000;   -999.000;   0
1949-06-01;--:--;   1200.000;   -999.000;   0
1949-07-01;--:--;    435.000;   -999.000;   0
1949-08-01;--:--;    238.000;   -999.000;   0
1949-09-01;--:--;    434.000;   -999.000;   0
1949-10-01;--:--;    436.000;   -999.000;   0
1949-11-01;--:--;    705.000;   -999.000;   0
1949-12-01;--:--;    562.000;   -999.000;   0
1950-01-01;--:--;    418.000;   -999.000;   0
1950-02-01;--:--;    654.000;   -999.000;   0
1950-03-01;--:--;    659.000;   -999.000;   0
1950-04-01;--:--;    842.000;   -999.000;   0
1950-05-01;--:--;   1210.000;   -999.000;   0
1950-06-01;--:--;    825.000;   -999.000;   0
1950-07-01;--:--;    279.000;   -999.000;   0
1950-08-01;--:--;    326.000;   -999.000;   0
1950-09-01;--:--;    549.000;   -999.000;   0
1950-10-01;--:--;    487.000;   -999.000;   0
1950-11-01;--:--;    527.000;   -999.000;   0
1950-12-01;--:--;    691.000;   -999.000;   0
1951-01-01;--:--;    849.000;   -999.000;   0
1951-02-01;--:--;   1790.000;   -999.000;   0
1951-03-01;--:--;   1280.000;   -999.000;   0
1951-04-01;--:--;    906.000;   -999.000;   0
1951-05-01;--:--;   1970.000;   -999.000;   0
1951-06-01;--:--;   2160.000;   -999.000;   0
1951-07-01;--:--;   1390.000;   -999.000;   0
1951-08-01;--:--;   1160.000;   -999.000;   0
1951-09-01;--:--;    826.000;   -999.000;   0
1951-10-01;--:--;   1060.000;   -999.000;   0
1951-11-01;--:--;   4240.000;   -999.000;   0
1951-12-01;--:--;   1120.000;   -999.000;   0
1952-01-01;--:--;    636.000;   -999.000;   0
1952-02-01;--:--;    557.000;   -999.000;   0
1952-03-01;--:--;    544.000;   -999.000;   0
1952-04-01;--:--;    824.000;   -999.000;   0
1952-05-01;--:--;   1480.000;   -999.000;   0
1952-06-01;--:--;    802.000;   -999.000;   0
1952-07-01;--:--;    499.000;   -999.000;   0
